V1,travel,sleep,work_act,household_combine,Leisure_Combine,Others,work_per_week,wage,year,education,sex,metropolitan,age,partner,child_num
685,80,401,724,75,90,70,65,44.3786153846,2003,40,2,-1,55,1,0
687,20,390,485,0,455,90,40,11.25,2003,39,1,-1,48,1,0
688,180,540,165,200,335,20,50,15.2,2003,40,2,-1,31,1,0
694,110,450,615,180,20,65,40,32.5,2003,42,1,-1,40,1,1
699,125,400,530,90,235,60,50,34.6152,2003,43,1,-1,48,1,2
703,30,510,634,22,168,76,45,64.1024444444,2003,39,2,-1,56,3,0
705,95,530,545,70,180,20,40,46.15375,2003,44,2,-1,55,3,0
707,45,410,480,135,340,30,40,20,2003,42,2,-1,33,1,3
713,68,370,444,121,329,108,40,20.48,2003,40,1,-1,47,1,4
723,54,446,545,30,245,120,45,17.3075555556,2003,40,2,-1,25,1,0
726,40,660,415,100,180,45,40,18.75,2003,40,2,-1,43,1,1
730,275,415,500,35,180,35,40,14,2003,44,2,-1,27,2,0
731,250,465,80,145,425,75,70,41.2087142857,2003,46,2,-1,44,1,3
733,140,375,455,90,315,65,40,9.61525,2003,41,1,-1,37,1,3
734,10,705,630,0,90,5,58,19.8937931034,2003,42,1,-1,35,1,2
735,80,465,415,111,177,192,35,13,2003,40,2,-1,41,1,3
740,112,530,480,0,273,45,40,21.25,2003,39,1,-1,39,1,1
742,65,430,615,71,208,51,50,25.7,2003,40,1,-1,41,1,0
744,60,435,516,40,301,88,40,13,2003,39,2,-1,53,1,0
749,97,450,473,39,276,105,40,16.625,2003,40,2,-1,28,3,1
760,20,400,470,125,275,150,40,11.3,2003,40,2,-1,36,3,1
773,80,150,510,80,140,480,40,27.8845,2003,40,2,-1,40,3,1
783,40,480,555,60,275,30,50,17.9538,2003,43,1,-1,26,1,0
791,110,300,480,0,455,95,35,8,2003,39,2,-1,19,3,1
794,95,199,543,117,425,61,45,21.1111111111,2003,43,1,-1,52,1,1
795,69,445,492,156,190,88,45,8.88888888889,2003,39,1,-1,73,3,3
797,20,505,575,100,210,30,60,26.6666666667,2003,40,1,-1,31,1,1
799,70,470,450,155,180,115,40,6,2003,39,2,-1,41,3,2
800,60,435,820,0,50,75,50,13.0768,2003,44,2,-1,28,3,0
802,60,510,540,210,90,30,40,8.5,2003,39,2,-1,36,3,1
809,60,480,625,100,110,65,40,7,2003,38,2,-1,27,1,2
810,190,450,410,0,330,60,55,19.93,2003,43,1,-1,34,1,2
826,135,465,535,0,255,50,50,31,2003,43,1,-1,30,1,2
832,55,525,225,182,423,30,60,9.16666666667,2003,43,1,-1,27,3,0
844,79,300,557,289,180,35,45,37.2444444444,2003,39,1,-1,31,1,1
848,40,540,135,440,255,30,65,18.8033846154,2003,46,1,-1,42,1,3
850,60,390,580,0,350,60,40,19.25,2003,39,1,-1,44,2,0
851,145,360,510,110,208,107,40,30.86525,2003,43,2,-1,33,1,0
862,37,510,443,134,256,60,40,25,2003,43,2,-1,57,1,1
867,0,540,390,150,300,60,65,25.4436923077,2003,43,1,-1,43,3,0
868,0,390,90,765,195,0,58,1.03448275862,2003,42,2,-1,44,1,2
869,40,540,430,135,265,30,40,3.75,2003,37,2,-1,57,3,0
872,80,390,570,130,210,60,40,17.77,2003,42,2,-1,28,1,1
